sale_id,invoice_id,sale_date,customer_id,product_id,quantity,unit_price,total_price,channel,store_location,payment_method,id
71,INV-202301-00071,2023-01-31,2734,1119,2,181.68,363.36,online,,järelmaks,71
72,INV-202301-00072,2023-01-29,3953,1023,2,38.70,77.40,pood,Tallinn,sularaha,72
73,INV-202301-00073,2023-01-18,3789,1183,2,231.13,462.26,pood,Pärnu,kaart,73
74,INV-202301-00074,2023-01-02,,1204,1,63.95,63.95,pood,Pärnu,kaart,74
75,INV-202301-00075,2023-01-05,4454,1290,4,105.23,420.92,online,,sularaha,75
76,INV-202301-00076,2023-01-26,2755,1259,4,229.55,918.20,online,,kaart,76
77,INV-202301-00077,2023-01-04,4178,1275,3,62.82,188.46,online,,sularaha,77
78,INV-202301-00078,2023-01-09,,1274,3,234.79,704.37,pood,Tartu,kaart,78
79,INV-202301-00079,2023-01-02,4896,1289,2,171.33,342.66,pood,Tallinn,sularaha,79
80,INV-202301-00080,2023-01-17,4259,1053,1,113.86,113.86,pood,Tartu,sularaha,80
81,INV-202301-00081,2023-01-18,3011,1156,1,221.89,221.89,online,,järelmaks,81
82,INV-202301-00082,2023-01-11,3251,1001,2,157.49,314.98,pood,Tallinn,järelmaks,82
83,INV-202301-00083,2023-01-02,4624,1198,2,291.72,583.44,pood,Tallinn,kaart,83
84,INV-202301-00084,2023-01-28,4952,1160,1,368.67,368.67,pood,Tallinn,järelmaks,84
85,INV-202301-00085,2023-01-04,2609,1243,1,184.02,184.02,pood,Pärnu,sularaha,85
86,INV-202301-00086,2023-01-29,2890,1118,1,109.42,109.42,pood,Pärnu,järelmaks,86
87,INV-202301-00087,2023-01-07,2677,1070,1,139.74,139.74,pood,Tallinn,kaart,87
88,INV-202301-00088,2023-01-04,4001,1082,2,100.93,201.86,pood,Tallinn,kaart,88
89,INV-202301-00089,2023-01-31,2889,1275,2,62.82,125.64,pood,Tallinn,kaart,89
90,INV-202301-00090,2023-01-09,2206,1200,2,105.29,210.58,pood,Pärnu,kaart,90
91,INV-202301-00091,2023-01-15,4238,1107,2,279.43,558.86,pood,Tartu,järelmaks,91
92,INV-202301-00092,2023-01-29,2704,1142,2,307.27,614.54,pood,Tallinn,järelmaks,92
93,INV-202301-00093,2023-01-24,4131,1003,2,52.04,104.08,pood,Tallinn,järelmaks,93
94,INV-202301-00094,2023-01-28,3261,1319,1,290.55,290.55,pood,Pärnu,sularaha,94
95,INV-202301-00095,2023-01-03,4000,1227,2,120.17,240.34,online,,järelmaks,95
96,INV-202301-00096,2023-01-21,3605,1071,1,237.71,237.71,online,,kaart,96
97,INV-202301-00097,2023-01-20,4597,1312,3,243.93,731.79,pood,Tartu,kaart,97
98,INV-202301-00098,2023-01-03,2472,1034,1,207.23,207.23,pood,Tartu,järelmaks,98
99,INV-202301-00099,2023-01-08,4264,1080,1,51.50,51.50,pood,Tallinn,sularaha,99
100,INV-202301-00100,2023-01-24,3350,1136,2,94.25,188.50,pood,Tallinn,järelmaks,100
101,INV-202301-00101,2023-01-10,2668,1040,1,96.11,96.11,pood,Tartu,järelmaks,101
102,INV-202301-00102,2023-01-24,3648,1350,1,270.69,270.69,online,,kaart,102
103,INV-202301-00103,2023-01-23,4276,1155,1,209.05,209.05,pood,Tallinn,järelmaks,103
104,INV-202301-00104,2023-01-24,4217,1337,2,272.05,544.10,pood,Tallinn,järelmaks,104
105,INV-202301-00105,2023-01-04,2396,1138,2,130.73,261.46,pood,Tallinn,sularaha,105
106,INV-202301-00106,2023-01-03,3767,1277,1,121.51,121.51,pood,Tartu,kaart,106
107,INV-202301-00107,2023-01-10,3837,1108,1,371.05,371.05,pood,Tallinn,sularaha,107
108,INV-202301-00108,2023-01-08,3398,1139,1,106.71,106.71,pood,Tallinn,kaart,108
109,INV-202301-00109,2023-01-28,2735,1246,1,204.87,204.87,online,,sularaha,109
110,INV-202301-00110,2023-01-10,3119,1289,1,171.33,171.33,online,,kaart,110
111,INV-202301-00111,2023-01-31,3556,1256,1,296.40,296.40,pood,Tallinn,sularaha,111
112,INV-202301-00112,2023-01-06,3165,1170,1,158.51,158.51,pood,Tartu,järelmaks,112
113,INV-202301-00113,2023-01-08,2095,1295,1,375.34,375.34,online,,järelmaks,113
114,INV-202301-00114,2023-01-25,2304,1283,1,188.91,188.91,pood,Tallinn,järelmaks,114
115,INV-202301-00115,2023-01-12,2759,1032,2,198.42,396.84,pood,Tallinn,järelmaks,115
116,INV-202301-00116,2023-01-01,2441,1223,4,319.98,1279.92,pood,Tallinn,järelmaks,116
117,INV-202301-00117,2023-01-29,2070,1109,2,116.20,232.40,pood,Tallinn,sularaha,117
118,INV-202301-00118,2023-01-19,2439,1152,1,107.67,107.67,pood,Tallinn,järelmaks,118
119,INV-202301-00119,2023-01-31,4312,1047,1,155.84,155.84,pood,Tallinn,sularaha,119
120,INV-202301-00120,2023-01-04,3556,1114,1,74.70,74.70,pood,Tallinn,sularaha,120
121,INV-202301-00121,2023-01-29,,1103,5,173.62,868.10,online,,sularaha,121
122,INV-202301-00122,2023-01-02,,1135,4,175.25,701.00,pood,Tartu,sularaha,122
123,INV-202301-00123,2023-01-26,4105,1172,2,141.62,283.24,pood,Tallinn,sularaha,123
124,INV-202301-00124,2023-01-17,4206,1055,5,65.60,328.00,pood,Pärnu,sularaha,124
125,INV-202301-00125,2023-01-30,4141,1017,2,153.62,307.24,pood,Tallinn,järelmaks,125
126,INV-202301-00126,2023-01-20,,1146,1,31.65,31.65,online,,sularaha,126
127,INV-202301-00127,2023-01-17,4372,1214,1,250.17,250.17,pood,Pärnu,järelmaks,127
128,INV-202301-00128,2023-01-27,3899,1178,1,105.09,105.09,pood,Tallinn,sularaha,128
129,INV-202301-00129,2023-01-14,,1329,2,110.02,220.04,online,,kaart,129
130,INV-202301-00130,2023-01-31,,1034,2,207.23,414.46,online,,järelmaks,130
131,INV-202301-00131,2023-01-14,4315,1160,2,368.67,737.34,pood,Tartu,kaart,131
132,INV-202301-00132,2023-01-19,2635,1187,2,252.33,504.66,pood,Tallinn,sularaha,132
133,INV-202301-00133,2023-01-28,2272,1225,1,116.87,116.87,pood,Pärnu,järelmaks,133
134,INV-202301-00134,2023-01-20,4146,1217,2,34.04,68.08,online,,kaart,134
135,INV-202301-00135,2023-01-02,4220,1240,1,356.57,356.57,pood,Tallinn,sularaha,135
136,INV-202301-00136,2023-01-21,2930,1290,3,105.23,315.69,pood,Tartu,järelmaks,136
137,INV-202301-00137,2023-01-22,3556,1153,1,79.59,79.59,pood,Tartu,järelmaks,137
138,INV-202301-00138,2023-01-16,2377,1129,1,182.77,182.77,pood,Pärnu,järelmaks,138
139,INV-202301-00139,2023-01-26,2202,1049,1,308.84,-308.84,online,,sularaha,139
140,INV-202301-00140,2023-01-25,3128,1187,2,252.33,504.66,pood,Tallinn,järelmaks,140
141,INV-202301-00141,2023-01-14,4444,1330,3,167.23,501.69,pood,Pärnu,järelmaks,141
142,INV-202301-00142,2023-01-11,3525,1154,2,190.81,381.62,pood,Tallinn,järelmaks,142
143,INV-202301-00143,2023-01-14,2980,1136,3,94.25,282.75,online,,sularaha,143
144,INV-202301-00144,2023-01-07,3446,1009,5,332.55,1662.75,pood,Tallinn,järelmaks,144
145,INV-202301-00145,2023-01-07,3240,1215,3,160.91,482.73,pood,Tallinn,kaart,145
146,INV-202301-00146,2023-01-02,2652,1327,2,110.70,221.40,pood,Tallinn,kaart,146
147,INV-202301-00147,2023-01-17,3249,1274,3,234.79,704.37,pood,Tallinn,sularaha,147
148,INV-202301-00148,2023-01-09,3995,1272,1,183.31,183.31,pood,Tartu,kaart,148
149,INV-202301-00149,2023-01-05,2597,1332,1,81.85,81.85,online,,järelmaks,149
150,INV-202301-00150,2023-01-18,3429,1216,1,273.06,273.06,online,,kaart,150
151,INV-202301-00151,2023-01-03,3924,1157,2,91.22,182.44,online,,sularaha,151
152,INV-202301-00152,2023-01-01,3556,1128,3,321.68,823.50,pood,Pärnu,kaart,152
153,INV-202301-00153,2023-01-18,4833,1277,2,121.51,243.02,pood,Tallinn,sularaha,153
154,INV-202301-00154,2023-01-21,2997,1209,5,252.10,1260.50,online,,järelmaks,154
155,INV-202301-00155,2023-01-22,2761,1035,1,65.52,65.52,pood,Pärnu,sularaha,155
156,INV-202301-00156,2023-01-01,4288,1204,1,63.95,63.95,pood,Tallinn,kaart,156
157,INV-202301-00157,2023-01-05,3648,1338,1,282.29,282.29,pood,Tartu,järelmaks,157
158,INV-202301-00158,2023-01-18,3692,1143,1,307.83,307.83,pood,Tartu,järelmaks,158
159,INV-202301-00159,2023-01-09,3984,1083,1,72.14,72.14,pood,Tallinn,sularaha,159
160,INV-202301-00160,2023-01-23,2265,1033,2,221.42,442.84,online,,järelmaks,160
161,INV-202301-00161,2023-01-02,4458,1128,1,274.50,274.50,pood,Tallinn,järelmaks,161
162,INV-202301-00162,2023-01-07,2534,1016,2,54.81,109.62,pood,Pärnu,järelmaks,162
163,INV-202301-00163,2023-01-17,,1041,2,107.36,214.72,online,,kaart,163
164,INV-202301-00164,2023-01-24,,1080,2,51.50,103.00,pood,Tartu,kaart,164
165,INV-202301-00165,2023-01-26,4324,1047,1,155.84,155.84,online,,järelmaks,165
166,INV-202301-00166,2023-01-18,3197,1117,2,72.58,145.16,online,,kaart,166
167,INV-202301-00167,2023-01-26,3605,1104,3,191.48,574.44,pood,Tallinn,sularaha,167
168,INV-202301-00168,2023-01-04,4556,1092,2,186.12,288.40,online,,kaart,168
169,INV-202301-00169,2023-01-09,2976,1235,3,232.27,632.61,pood,Pärnu,sularaha,169
170,INV-202301-00170,2023-01-04,,1111,1,327.07,327.07,pood,Tallinn,sularaha,170
171,INV-202301-00171,2023-01-22,4080,1346,3,258.91,776.73,pood,Tallinn,järelmaks,171
172,INV-202301-00172,2023-01-11,2535,1323,1,151.08,151.08,pood,Pärnu,järelmaks,172
173,INV-202301-00173,2023-01-14,3894,1305,1,50.77,50.77,pood,Tallinn,kaart,173
174,INV-202301-00174,2023-01-24,2372,1229,2,210.76,421.52,pood,Tartu,kaart,174
175,INV-202301-00175,2023-01-29,4949,1145,2,338.43,676.86,pood,Tallinn,kaart,175
176,INV-202301-00176,2023-01-21,,1350,1,270.69,270.69,pood,Tallinn,kaart,176
177,INV-202301-00177,2023-01-08,3921,1018,1,47.07,47.07,pood,Tallinn,kaart,177
178,INV-202301-00178,2023-01-20,4321,1013,2,218.99,437.98,pood,Tartu,järelmaks,178
179,INV-202301-00179,2023-01-27,4409,1292,1,74.81,74.81,online,,järelmaks,179
180,INV-202301-00180,2023-01-10,2547,1011,1,53.99,53.99,pood,Tallinn,järelmaks,180
181,INV-202301-00181,2023-01-17,4643,1274,1,234.79,234.79,pood,Tartu,kaart,181
182,INV-202301-00182,2023-01-12,4480,1034,1,207.23,207.23,pood,Tartu,kaart,182
183,INV-202301-00183,2023-01-19,4119,1304,2,210.36,420.72,pood,Pärnu,sularaha,183
184,INV-202301-00184,2023-01-02,4677,1004,1,41.63,41.63,pood,Tartu,kaart,184
185,INV-202301-00185,2023-01-05,2554,1182,1,180.14,180.14,online,,sularaha,185
186,INV-202301-00186,2023-01-23,2257,1181,2,142.57,285.14,pood,Tartu,sularaha,186
187,INV-202301-00187,2023-01-16,4534,1039,1,282.95,282.95,online,,järelmaks,187
188,INV-202301-00188,2023-01-05,2484,1072,2,95.39,190.78,online,,sularaha,188
189,INV-202301-00189,2023-01-19,3356,1279,1,66.21,66.21,online,,kaart,189
190,INV-202301-00190,2023-01-05,3443,1017,3,153.62,460.86,online,,kaart,190
191,INV-202301-00191,2023-01-20,4054,1209,2,252.10,504.20,pood,Tallinn,järelmaks,191
192,INV-202301-00192,2023-01-05,2876,1211,2,225.28,450.56,online,,järelmaks,192
193,INV-202301-00193,2023-01-20,3236,1267,1,66.88,66.88,pood,Tallinn,järelmaks,193
194,INV-202301-00194,2023-01-24,3486,1223,1,319.98,-319.98,online,,kaart,194
195,INV-202301-00195,2023-01-05,4070,1070,2,139.74,-279.48,pood,Tallinn,sularaha,195
196,INV-202301-00196,2023-01-20,3696,1060,5,253.26,1266.30,online,,järelmaks,196
197,INV-202301-00197,2023-01-19,2954,1058,4,302.86,1211.44,pood,Tartu,sularaha,197
198,INV-202301-00198,2023-01-09,3856,1243,1,184.02,184.02,pood,Tartu,kaart,198
199,INV-202301-00199,2023-01-20,4745,1278,1,263.13,263.13,pood,Tallinn,sularaha,199
200,INV-202301-00200,2023-01-22,,1078,1,42.64,42.64,pood,Pärnu,sularaha,200
201,INV-202301-00201,2023-01-08,3665,1076,1,89.29,89.29,pood,Tallinn,järelmaks,201
202,INV-202301-00202,2023-01-31,2711,1291,2,219.83,439.66,pood,Tallinn,järelmaks,202
203,INV-202301-00203,2023-01-05,2577,1337,2,272.05,544.10,pood,Tallinn,sularaha,203
204,INV-202301-00204,2023-01-02,4119,1211,1,225.28,225.28,pood,Tallinn,kaart,204
205,INV-202301-00205,2023-01-09,4768,1113,3,86.46,259.38,pood,Tallinn,sularaha,205
206,INV-202301-00206,2023-01-05,4481,1218,2,108.09,216.18,online,,kaart,206
207,INV-202301-00207,2023-01-04,4206,1030,1,112.68,112.68,pood,Pärnu,järelmaks,207
208,INV-202301-00208,2023-01-19,3556,1008,3,280.13,840.39,pood,Pärnu,kaart,208
209,INV-202301-00209,2023-01-19,,1108,4,371.05,1484.20,pood,Tallinn,sularaha,209
210,INV-202301-00210,2023-01-06,3041,1043,2,128.44,256.88,pood,Tallinn,sularaha,210
211,INV-202301-00211,2023-01-14,3853,1236,4,205.89,823.56,pood,Tallinn,kaart,211
212,INV-202301-00212,2023-01-26,4599,1145,2,338.43,676.86,online,,sularaha,212
213,INV-202301-00213,2023-01-05,3085,1303,1,312.41,312.41,pood,Tallinn,sularaha,213
214,INV-202301-00214,2023-01-14,4868,1190,3,138.13,-414.39,pood,Tallinn,kaart,214
215,INV-202301-00215,2023-01-24,2997,1342,1,208.11,208.11,pood,Tartu,kaart,215
216,INV-202301-00216,2023-01-06,2735,1241,1,368.97,368.97,pood,Tartu,järelmaks,216
217,INV-202301-00217,2023-01-17,3384,1261,1,305.72,305.72,pood,Tallinn,järelmaks,217
218,INV-202301-00218,2023-01-14,3128,1168,1,316.04,316.04,online,,kaart,218
219,INV-202301-00219,2023-01-29,4460,1249,1,73.90,73.90,pood,Tallinn,kaart,219
220,INV-202301-00220,2023-01-01,4864,1135,2,175.25,350.50,pood,Pärnu,kaart,220
221,INV-202301-00221,2023-01-22,,1334,1,24.67,24.67,pood,Tallinn,järelmaks,221
222,INV-202301-00222,2023-01-15,,1080,2,51.50,-103.00,pood,Pärnu,sularaha,222
223,INV-202301-00223,2023-01-23,4266,1199,2,276.97,553.94,pood,Tallinn,sularaha,223
224,INV-202301-00224,2023-01-06,2744,1006,3,319.42,958.26,pood,Tallinn,kaart,224
225,INV-202301-00225,2023-01-20,,1178,2,105.09,210.18,pood,Tallinn,sularaha,225
226,INV-202301-00226,2023-01-15,4178,1045,1,176.65,176.65,pood,Tallinn,kaart,226
227,INV-202301-00227,2023-01-15,4024,1126,3,200.77,602.31,pood,Tallinn,kaart,227
228,INV-202301-00228,2023-01-04,,1201,4,147.16,588.64,pood,Tallinn,sularaha,228
229,INV-202301-00229,2023-01-02,4150,1089,1,134.58,134.58,pood,Tallinn,kaart,229
230,INV-202301-00230,2023-01-31,4643,1142,1,307.27,307.27,online,,kaart,230
231,INV-202301-00231,2023-01-13,2819,1328,1,274.87,274.87,online,,järelmaks,231
232,INV-202301-00232,2023-01-11,4235,1261,1,305.72,305.72,pood,Tallinn,kaart,232
233,INV-202301-00233,2023-01-10,4467,1012,2,160.21,-320.42,online,,sularaha,233
234,INV-202301-00234,2023-01-12,3854,1119,3,181.68,545.04,online,,järelmaks,234
235,INV-202301-00235,2023-01-17,4178,1333,4,218.54,874.16,pood,Tallinn,järelmaks,235
236,INV-202301-00236,2023-01-25,4414,1239,1,78.09,78.09,pood,Tallinn,kaart,236
237,INV-202301-00237,2023-01-23,2041,1051,3,208.83,626.49,pood,Tallinn,sularaha,237
238,INV-202301-00238,2023-01-23,4544,1047,1,155.84,155.84,online,,sularaha,238
239,INV-202301-00239,2023-01-05,2518,1248,1,169.92,145.50,pood,Tallinn,sularaha,239
240,INV-202301-00240,2023-01-14,4533,1296,3,301.97,905.91,pood,Tallinn,kaart,240
241,INV-202301-00241,2023-01-10,3332,1008,2,280.13,560.26,online,,kaart,241
242,INV-202301-00242,2023-01-20,3654,1120,2,206.34,412.68,pood,Tallinn,järelmaks,242
243,INV-202301-00243,2023-01-12,2141,1278,1,263.13,263.13,online,,kaart,243
244,INV-202301-00244,2023-01-03,3861,1345,2,225.81,451.62,pood,Tartu,kaart,244
245,INV-202301-00245,2023-01-20,,1158,1,70.01,70.01,pood,Tallinn,sularaha,245
246,INV-202301-00246,2023-01-01,3110,1333,1,218.54,218.54,online,,kaart,246
247,INV-202301-00247,2023-01-12,4322,1153,2,79.59,159.18,online,,kaart,247
248,INV-202301-00248,2023-01-12,2036,1245,2,228.81,457.62,online,,kaart,248
249,INV-202301-00249,2023-01-25,4624,1177,3,135.99,407.97,pood,Tallinn,kaart,249
250,INV-202301-00250,2023-01-28,3644,1082,1,100.93,100.93,pood,Tallinn,sularaha,250
251,INV-202301-00251,2023-01-11,3398,1321,1,183.40,183.40,pood,Tallinn,järelmaks,251
252,INV-202301-00252,2023-01-07,4330,1029,1,184.15,184.15,pood,Tartu,sularaha,252
253,INV-202301-00253,2023-01-25,3825,1281,2,292.61,585.22,pood,Tallinn,järelmaks,253
254,INV-202301-00254,2023-01-01,4593,1135,1,175.25,175.25,pood,Pärnu,järelmaks,254
255,INV-202301-00255,2023-01-29,2218,1335,3,201.86,605.58,pood,Tartu,järelmaks,255
256,INV-202301-00256,2023-01-06,4150,1086,1,149.47,149.47,pood,Pärnu,järelmaks,256
257,INV-202301-00257,2023-01-07,3850,1163,1,259.69,259.69,pood,Tallinn,sularaha,257
258,INV-202301-00258,2023-01-31,3555,1273,2,274.37,548.74,pood,Tallinn,järelmaks,258
259,INV-202301-00259,2023-01-09,2014,1063,1,151.45,151.45,online,,järelmaks,259
260,INV-202301-00260,2023-01-23,3365,1217,3,34.04,102.12,pood,Tartu,järelmaks,260
261,INV-202301-00261,2023-01-09,3212,1219,2,29.42,58.84,pood,Tallinn,kaart,261
262,INV-202302-00001,2023-02-06,4191,1175,3,83.97,251.91,online,,järelmaks,262
263,INV-202302-00002,2023-02-07,3883,1154,1,190.81,190.81,pood,Tallinn,kaart,263
264,INV-202302-00003,2023-02-24,3618,1047,1,155.84,155.84,pood,Tartu,kaart,264
265,INV-202302-00004,2023-02-12,4166,1313,3,77.60,232.80,online,,järelmaks,265
266,INV-202302-00005,2023-02-18,2994,1296,2,301.97,603.94,online,,kaart,266
267,INV-202302-00006,2023-02-06,3470,1100,5,126.42,632.10,online,,sularaha,267
268,INV-202302-00007,2023-02-21,,1180,1,51.58,51.58,pood,Tartu,kaart,268
269,INV-202302-00008,2023-02-25,,1011,1,53.99,53.99,pood,Tallinn,järelmaks,269
270,INV-202302-00009,2023-02-24,4918,1154,4,190.81,763.24,online,,järelmaks,270
271,INV-202302-00010,2023-02-05,2212,1297,2,104.27,208.54,pood,Tallinn,kaart,271
272,INV-202302-00011,2023-02-22,3438,1084,2,156.13,312.26,online,,järelmaks,272
273,INV-202302-00012,2023-02-17,2251,1243,1,184.02,184.02,online,,järelmaks,273
274,INV-202302-00013,2023-02-17,4863,1159,2,24.54,49.08,pood,Tallinn,kaart,274
275,INV-202302-00014,2023-02-02,4672,1176,1,245.59,245.59,online,,kaart,275
276,INV-202302-00015,2025-12-14,2221,1316,1,296.58,296.58,pood,Tallinn,kaart,276
277,INV-202302-00016,2023-02-17,4511,1196,3,32.93,98.79,pood,Tartu,kaart,277
278,INV-202302-00017,2023-02-26,4330,1026,3,212.65,498.81,pood,Tallinn,kaart,278
279,INV-202302-00018,2023-02-26,2622,1178,3,105.09,315.27,online,,kaart,279
280,INV-202302-00019,2023-02-23,2610,1048,3,16.37,49.11,pood,Tallinn,järelmaks,280
281,INV-202302-00020,2023-02-25,3466,1087,1,57.08,57.08,pood,Tartu,kaart,281
282,INV-202302-00021,2023-02-15,4178,1022,1,22.70,22.70,pood,Tallinn,sularaha,282
283,INV-202302-00022,2023-02-06,3997,1298,2,163.53,327.06,online,,kaart,283
284,INV-202302-00023,2023-02-10,4274,1190,1,138.13,138.13,pood,Tallinn,järelmaks,284
285,INV-202302-00024,2023-02-13,4419,1247,1,29.48,29.48,pood,Tallinn,järelmaks,285
286,INV-202302-00025,2023-02-02,4469,1187,1,252.33,252.33,online,,sularaha,286
287,INV-202302-00026,2023-02-01,4949,1254,2,136.30,272.60,pood,Tallinn,järelmaks,287
288,INV-202302-00027,2023-02-03,4747,1087,2,57.08,114.16,online,,sularaha,288
289,INV-202302-00028,2023-02-19,4716,1300,2,247.52,495.04,pood,Tallinn,sularaha,289
